suite_id	suite_name	suite_order	suite_details	case_id	case_name	case_order	version_id	summary	preconditions	step_number	actions	expected_results
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	217	TC-CLI-010 - Ordenamiento por nombre (ASC/DESC)	1	778	Validar que el listado de clientes pueda ordenarse correctamente por el campo nombre	Existen al menos cinco clientes con nombres distintos	1	<p>Ir al listado de clientes → Clic en columna &#039;Nombre&#039;</p>	<p>El sistema ordena la lista en forma ascendente</p>
203	Alertas	1	Notificaciones por vigencia y estados	218	TC-ALR-001 - Alerta por póliza próxima a expirar (≤30 días)	1	779	Generar alerta para pólizas con fecha fin en 30 días o menos	Póliza A con fin en 20 días; motor de alertas habilitado	1	<p>Ejecutar ciclo de alertas (o esperar cron)</p>	<p>Proceso se ejecuta correctamente</p>
204	Login	1	Autenticación y manejo de errores	228	TC-LOG-001 - Inicio de sesión válido	1	789	Acceso con credenciales correctas	Usuario activo con email/contraseña válidos	1	<p>Ir a /login → Ingresar credenciales válidas → Acceder</p>	<p>Redirección a dashboard; sesión activa</p>
204	Login	1	Autenticación y manejo de errores	229	TC-LOG-002 - Contraseña incorrecta	1	790	Validar mensaje de error con contraseña incorrecta	Usuario válido existente	1	<p>/login → Usuario válido + contraseña inválida → Acceder</p>	<p>Error &#039;Credenciales inválidas&#039;; sin sesión</p>
204	Login	1	Autenticación y manejo de errores	230	TC-LOG-003 - Usuario inexistente	1	791	Validar mensaje de error con usuario no registrado	Ninguna	1	<p>/login → Usuario no registrado + cualquier contraseña</p>	<p>Error &#039;Usuario no encontrado&#039; o equivalente; sin sesión</p>
204	Login	1	Autenticación y manejo de errores	231	TC-LOG-004 - Intentos fallidos consecutivos bloquean cuenta temporalmente	1	792	Validar que tras varios intentos fallidos el sistema bloquee temporalmente la cuenta del usuario	Usuario activo existente. Política de seguridad configurada (máximo 3 intentos)	1	<p>Ingresar credenciales incorrectas 3 veces consecutivas</p>	<p>Se registran los intentos fallidos</p>
204	Login	1	Autenticación y manejo de errores	232	TC-LOG-005 - Mostrar mensaje de error cuando el campo contraseña está vacío	1	793	Verificar que el sistema solicite la contraseña si el campo se deja vacío	Página de login disponible	1	<p>Ingresar un usuario válido y dejar vacío el campo contraseña</p>	<p>Campo vacío</p>
204	Login	1	Autenticación y manejo de errores	233	TC-LOG-006 - Mostrar mensaje de error cuando el campo usuario está vacío	1	794	Validar que el sistema solicite el usuario si el campo se deja vacío	Página de login cargada	1	<p>Dejar el campo usuario vacío y escribir una contraseña válida</p>	<p>Campo usuario vacío</p>
204	Login	1	Autenticación y manejo de errores	234	TC-LOG-007 - Restablecimiento de contraseña por correo electrónico	1	795	Validar que el sistema permita solicitar un restablecimiento de contraseña	Usuario registrado con correo válido	1	<p>Ir a la página de login → Clic en &#039;¿Olvidaste tu contraseña?&#039;</p>	<p>Se muestra formulario de recuperación</p>
204	Login	1	Autenticación y manejo de errores	235	TC-LOG-008 - Enlace de restablecimiento expira después de cierto tiempo	1	796	Asegurar que el enlace de recuperación tenga una vigencia limitada	Usuario con correo de recuperación recibido	1	<p>Esperar que pase el tiempo de expiración configurado (10 minutos)</p>	<p>Tiempo transcurrido</p>
204	Login	1	Autenticación y manejo de errores	236	TC-LOG-009 - Cierre de sesión exitoso	1	797	Validar que el usuario pueda cerrar sesión correctamente y que la sesión se invalide	Usuario autenticado	1	<p>Clic en el menú de usuario → Seleccionar &#039;Cerrar sesión&#039;</p>	<p>El sistema redirige a la pantalla de login</p>
204	Login	1	Autenticación y manejo de errores	237	TC-LOG-010 - Redirección automática al dashboard después del login	1	798	Verificar que tras iniciar sesión correctamente, el usuario sea dirigido al panel principal	Usuario activo con credenciales válidas	1	<p>Ingresar credenciales válidas → Iniciar sesión</p>	<p>El sistema redirige al dashboard principal</p>
205	Base de Datos	1	Persistencia e integridad referencial	238	TC-DB-001 - Persistencia de cliente tras alta (verificación básica)	1	799	Confirmar que el alta desde UI se persiste	Acceso de lectura a BD o endpoint de consulta	1	<p>Crear cliente (ver TC-CLI-001)</p>	<p>Cliente creado en UI</p>
205	Base de Datos	1	Persistencia e integridad referencial	239	TC-DB-002 - Integridad referencial cliente–póliza	1	800	Verificar la integridad referencial entre clientes y pólizas	Cliente X existente	1	<p>Crear póliza asociada a X</p>	<p>Póliza creada</p>
205	Base de Datos	1	Persistencia e integridad referencial	240	TC-DB-003 - Índices/búsqueda por RFC	1	801	Validar que la búsqueda por RFC sea eficiente	Base de datos con clientes	1	<p>Ejecutar búsqueda por RFC desde UI</p>	<p>Búsqueda se ejecuta</p>
205	Base de Datos	1	Persistencia e integridad referencial	241	TC-DB-004 - Unicidad de RFC en BD (índice UNIQUE)	1	802	Verificar que la BD prohíbe RFC duplicado mediante restricción UNIQUE	Existe cliente con RFC LORM850101ABC	1	<p>Intentar insertar/guardar un nuevo cliente con el mismo RFC</p>	<p>La BD rechaza la operación (error de UNIQUE) y no crea el registro</p>
205	Base de Datos	1	Persistencia e integridad referencial	242	TC-DB-005 - Campos obligatorios (NOT NULL) bloquean nulos	1	803	Asegurar que columnas obligatorias no acepten NULL	Definiciones NOT NULL en la tabla clientes	1	<p>Ejecutar INSERT/alta desde UI dejando correo vacío</p>	<p>La BD rechaza (violación NOT NULL) y el sistema muestra error</p>
205	Base de Datos	1	Persistencia e integridad referencial	243	TC-DB-006 - Tipos y longitudes (p. ej., email ≤ 255)	1	804	Validar que la BD aplique tipos/longitudes y rechace excedentes	Columna correo limitada (VARCHAR(255))	1	<p>Intentar guardar cliente con correo que excede el límite (&gt;255 caracteres)</p>	<p>La BD rechaza por longitud/tipo; el sistema informa el error</p>
205	Base de Datos	1	Persistencia e integridad referencial	244	TC-DB-007 - Transacción y rollback ante fallo de integridad	1	805	Asegurar que si falla la creación de póliza por FK inválida, se haga rollback sin dejar basura	Transacciones activas en la capa de datos; FK polizas.cliente_id → clientes.id	1	<p>Iniciar operación de alta de póliza con cliente_id inválido</p>	<p>La BD lanza error de FK y la transacción se revierte. No quedan registros huérfanos ni parciales en polizas</p>
205	Base de Datos	1	Persistencia e integridad referencial	245	TC-DB-008 - Restricción CHECK de vigencias (fin ≥ inicio)	1	806	Validar que la BD impide guardar vigencias inválidas en pólizas	CHECK (fecha_fin >= fecha_inicio) definido en polizas	1	<p>Intentar insertar/guardar póliza con fecha_inicio = 2025-10-05, fecha_fin = 2025-10-04</p>	<p>La BD rechaza por violar CHECK; el sistema muestra error</p>
205	Base de Datos	1	Persistencia e integridad referencial	246	TC-DB-009 - Auditoría: created_at/updated_at correctos	1	807	Verificar timestamps de auditoría y actualización en edición	Triggers o defaults (now()) en created_at y updated_at	1	<p>Crear cliente → Consultar BD</p>	<p>created_at y updated_at iguales y con zona horaria correcta</p>
205	Base de Datos	1	Persistencia e integridad referencial	247	TC-DB-010 - Eliminación restringida o en cascada (cliente con pólizas)	1	808	Comprobar política de integridad al eliminar un cliente con pólizas asociadas	FK polizas.cliente_id con acción definida (RESTRICT o CASCADE). Cliente X con al menos una póliza vinculada	1	<p>Intentar eliminar cliente X</p>	<p>Si RESTRICT: la BD bloquea la eliminación. Si CASCADE: elimina cliente y pólizas asociadas de forma consistente</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	248	TC-UI-001 - Consistencia visual de formulario de cliente	1	809	Etiquetas, orden, placeholders y botones según diseño	Mockups/guía de estilo aprobados	1	<p>Clientes → Nuevo → Comparar con mockup</p>	<p>Coinciden textos, orden y alineaciones; sin solapes</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	249	TC-UI-002 - Responsividad en 1366×768 y móvil	1	810	Verificar que la UI se adapte correctamente a diferentes resoluciones	Sistema accesible	1	<p>Listado de pólizas → Vista 1366×768</p>	<p>UI legible</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	250	TC-UI-003 - Colores corporativos	1	811	Validar uso consistente de la paleta corporativa	Guía de estilo definida	1	<p>Recorrer Módulos (Clientes, Pólizas, Reportes)</p>	<p>Paleta corporativa aplicada de forma consistente</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	251	TC-UI-004 - Validar contraste de colores y legibilidad del texto	1	812	Asegurar que el texto tenga suficiente contraste con el fondo según los lineamientos WCAG	El sistema está desplegado en entorno de pruebas	1	<p>Abrir la interfaz principal del sistema</p>	<p>Sistema carga correctamente</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	252	TC-UI-005 - Verificar consistencia de tipografía en módulos	1	813	Validar que todos los módulos usen la misma fuente, tamaño y estilo tipográfico	Guía de estilo aprobada	1	<p>Navegar por módulos Clientes, Pólizas y Reportes</p>	<p>Se usa la tipografía definida; no hay fuentes distintas o tamaños irregulares</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	253	TC-UI-006 - Validar diseño adaptable en pantallas pequeñas (móvil)	1	814	Comprobar que la interfaz se adapte correctamente en resoluciones móviles	Acceso a navegador con modo responsive	1	<p>Cambiar el viewport a resolución 390x844</p>	<p>Viewport cambiado</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	254	TC-UI-007 - Verificar que el logo y nombre de la aplicación se muestren correctamente	1	815	Asegurar que el logo y el título del sistema estén visibles en todas las vistas principales	Usuario autenticado	1	<p>Iniciar sesión y navegar entre módulos</p>	<p>Logo visible</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	255	TC-UI-008 - Verificar alineación y espaciado uniforme en formularios	1	816	Asegurar que los campos de formularios estén alineados correctamente	Formularios activos en los módulos Clientes y Pólizas	1	<p>Abrir formularios de alta en ambos módulos</p>	<p>Formularios cargados</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	256	TC-UI-009 - Validar que los botones tengan estados hover y active	1	817	Comprobar que los botones cambien de color o sombra al interactuar con el cursor	CSS con estilos definidos para hover/active	1	<p>Colocar el cursor sobre los botones principales (Guardar, Cancelar, Editar)</p>	<p>Observar el cambio de color o sombra</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	257	TC-UI-010 - Comprobar que los iconos y elementos visuales cargan correctamente	1	818	Validar que todos los íconos del sistema se visualicen correctamente y no falten recursos	Sistema cargado completamente	1	<p>Navegar por todas las vistas del sistema</p>	<p>Navegación exitosa</p>
207	Pólizas	1	Alta/edición, reglas de vigencia y estados	258	TC-POL-001 - Edición de póliza válida	1	819	Modificar información de una póliza vigente sin afectar datos críticos	Póliza existente en estado 'Vigente'	1	<p>Abrir módulo de pólizas → Listado → Seleccionar póliza</p>	<p>Póliza cargada</p>
207	Pólizas	1	Alta/edición, reglas de vigencia y estados	259	TC-POL-005 - Validación de duplicidad de número de póliza	1	820	Prevenir creación de póliza con número ya existente	Número de póliza AUTO-2025-001 ya registrado	1	<p>Pólizas → Nueva → Capturar datos con número repetido (AUTO-2025-001)</p>	<p>Formulario permite captura</p>
207	Pólizas	1	Alta/edición, reglas de vigencia y estados	260	TC-POL-006 - Búsqueda de póliza por cliente	1	821	Verificar que la búsqueda de pólizas por cliente retorne resultados correctos	Cliente María López Ramírez con pólizas registradas	1	<p>Módulo de pólizas → Buscar por cliente</p>	<p>Formulario de búsqueda visible</p>
207	Pólizas	1	Alta/edición, reglas de vigencia y estados	261	TC-POL-007 - Filtrado por estado de póliza	1	822	Comprobar que el filtrado por estado (Vigente, Cancelada, Expirada) funcione correctamente	Existencia de pólizas con diferentes estados	1	<p>Abrir módulo de pólizas → Aplicar filtro por estado</p>	<p>Filtro disponible</p>
207	Pólizas	1	Alta/edición, reglas de vigencia y estados	262	TC-POL-008 - Generación de documento de póliza	1	823	Verificar que se pueda generar documento PDF de una póliza válida	Póliza AUTO-2025-001 existente y vigente	1	<p>Abrir detalle de póliza → Generar documento</p>	<p>Opciones de generación disponibles</p>
207	Pólizas	1	Alta/edición, reglas de vigencia y estados	263	TC-POL-009 - Cambio de vigencia de póliza	1	824	Actualizar fechas de vigencia de una póliza válida	Póliza vigente; fechas nuevas válidas (inicio < fin)	1	<p>Abrir detalle de póliza → Editar</p>	<p>Formulario de edición visible</p>
207	Pólizas	1	Alta/edición, reglas de vigencia y estados	264	TC-POL-010 - Visualización del historial de cambios de póliza	1	825	Verificar que el sistema muestre correctamente el historial de modificaciones de una póliza	Póliza VIDA-2025-005 con al menos un cambio registrado	1	<p>Abrir detalle de póliza → Historial de cambios</p>	<p>Historial visible</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	208	TC-CLI-001 - Registro de cliente con datos válidos	1	769	Validar que se puede registrar un cliente con datos obligatorios correctos	Usuario con permisos de creación; catálogos activos	2	<p>Capturar campos obligatorios con datos válidos:<br />\n- Nombre: María López Ramírez<br />\n- RFC: LORM850101ABC<br />\n- Tel: 4421234567<br />\n- Correo: maria.lopez@example.com<br />\n- Estado: Activo</p>	<p>No hay errores de validación</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	209	TC-CLI-002 - Bloqueo por RFC duplicado	1	770	Evitar que se duplique un RFC existente	Existe cliente con RFC LORM850101ABC	2	<p>Guardar</p>	<p>Se muestra error &#039;RFC existente&#039;; no se crea registro</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	210	TC-CLI-003 - Edición básica de contacto	1	771	Actualizar teléfono y correo de un cliente	Cliente existente	2	<p>Volver al listado/búsqueda</p>	<p>Datos reflejan cambios</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	211	TC-CLI-004 - RFC en formato inválido bloquea guardado	1	772	Validar que el sistema impida guardar un cliente con un RFC en formato incorrecto	El formulario de alta de cliente está accesible	2	<p>Capturar los campos obligatorios, usando un RFC inválido (ABC123)</p>	<p>Formulario permite captura</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	212	TC-CLI-005 - Correo electrónico con formato inválido	1	773	Comprobar que el campo correo exige un formato correcto antes de guardar	El formulario de alta de cliente está disponible	2	<p>Completar los campos requeridos, usando un correo con formato inválido (maria.lopez@)</p>	<p>Formulario permite captura</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	213	TC-CLI-006 - Teléfono con longitud distinta a 10 dígitos	1	774	Verificar que no se acepten teléfonos con menos o más de 10 dígitos	Formulario de alta disponible	2	<p>Capturar los campos requeridos con un teléfono de 8 dígitos (44212345)</p>	<p>Formulario permite captura</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	214	TC-CLI-007 - Cambio de estado a Inactivo (baja lógica)	1	775	Validar que un cliente activo pueda cambiar su estado a inactivo y que el sistema restringe ciertas acciones	Cliente existente en estado Activo	2	<p>Guardar</p>	<p>El estado cambia correctamente</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	215	TC-CLI-008 - Impedir cambiar RFC a uno existente en edición	1	776	Evitar duplicados de RFC cuando se edita un cliente	Existen dos clientes: Cliente A (RFC_A) y Cliente B (RFC_B)	2	<p>Guardar</p>	<p>El sistema muestra mensaje &#039;RFC ya registrado&#039;</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	216	TC-CLI-009 - Búsqueda y filtro combinado por RFC y Estado	1	777	Validar que la búsqueda por RFC y el filtro de Estado se apliquen correctamente de forma conjunta	Base con varios clientes activos e inactivos	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	217	TC-CLI-010 - Ordenamiento por nombre (ASC/DESC)	1	778	Validar que el listado de clientes pueda ordenarse correctamente por el campo nombre	Existen al menos cinco clientes con nombres distintos	2	<p>Clic nuevamente</p>	<p>Orden descendente</p>
203	Alertas	1	Notificaciones por vigencia y estados	218	TC-ALR-001 - Alerta por póliza próxima a expirar (≤30 días)	1	779	Generar alerta para pólizas con fecha fin en 30 días o menos	Póliza A con fin en 20 días; motor de alertas habilitado	2	<p>Revisar centro/listado de alertas</p>	<p>Alerta visible para la póliza A</p>
204	Login	1	Autenticación y manejo de errores	228	TC-LOG-001 - Inicio de sesión válido	1	789	Acceso con credenciales correctas	Usuario activo con email/contraseña válidos	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
204	Login	1	Autenticación y manejo de errores	229	TC-LOG-002 - Contraseña incorrecta	1	790	Validar mensaje de error con contraseña incorrecta	Usuario válido existente	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
204	Login	1	Autenticación y manejo de errores	230	TC-LOG-003 - Usuario inexistente	1	791	Validar mensaje de error con usuario no registrado	Ninguna	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
204	Login	1	Autenticación y manejo de errores	231	TC-LOG-004 - Intentos fallidos consecutivos bloquean cuenta temporalmente	1	792	Validar que tras varios intentos fallidos el sistema bloquee temporalmente la cuenta del usuario	Usuario activo existente. Política de seguridad configurada (máximo 3 intentos)	2	<p>Intentar iniciar sesión nuevamente con credenciales correctas</p>	<p>El sistema muestra mensaje &#039;Cuenta bloqueada temporalmente&#039;</p>
204	Login	1	Autenticación y manejo de errores	232	TC-LOG-005 - Mostrar mensaje de error cuando el campo contraseña está vacío	1	793	Verificar que el sistema solicite la contraseña si el campo se deja vacío	Página de login disponible	2	<p>Clic en &#039;Iniciar sesión&#039;</p>	<p>El sistema muestra mensaje &#039;Ingrese su contraseña&#039;</p>
204	Login	1	Autenticación y manejo de errores	233	TC-LOG-006 - Mostrar mensaje de error cuando el campo usuario está vacío	1	794	Validar que el sistema solicite el usuario si el campo se deja vacío	Página de login cargada	2	<p>Presionar &#039;Iniciar sesión&#039;</p>	<p>El sistema muestra mensaje &#039;Ingrese su usuario o correo&#039;</p>
204	Login	1	Autenticación y manejo de errores	234	TC-LOG-007 - Restablecimiento de contraseña por correo electrónico	1	795	Validar que el sistema permita solicitar un restablecimiento de contraseña	Usuario registrado con correo válido	2	<p>Ingresar correo del usuario</p>	<p>El sistema muestra mensaje &#039;Se ha enviado un correo con instrucciones&#039;</p>
204	Login	1	Autenticación y manejo de errores	235	TC-LOG-008 - Enlace de restablecimiento expira después de cierto tiempo	1	796	Asegurar que el enlace de recuperación tenga una vigencia limitada	Usuario con correo de recuperación recibido	2	<p>Intentar abrir el enlace de restablecimiento</p>	<p>El sistema muestra mensaje &#039;El enlace ha expirado&#039;</p>
204	Login	1	Autenticación y manejo de errores	236	TC-LOG-009 - Cierre de sesión exitoso	1	797	Validar que el usuario pueda cerrar sesión correctamente y que la sesión se invalide	Usuario autenticado	2	<p>Intentar volver atrás con el navegador</p>	<p>No se accede al sistema</p>
204	Login	1	Autenticación y manejo de errores	237	TC-LOG-010 - Redirección automática al dashboard después del login	1	798	Verificar que tras iniciar sesión correctamente, el usuario sea dirigido al panel principal	Usuario activo con credenciales válidas	2	<p>Verificar dashboard</p>	<p>El nombre del usuario se muestra en la parte superior derecha</p>
205	Base de Datos	1	Persistencia e integridad referencial	238	TC-DB-001 - Persistencia de cliente tras alta (verificación básica)	1	799	Confirmar que el alta desde UI se persiste	Acceso de lectura a BD o endpoint de consulta	2	<p>Consultar BD (SELECT por RFC) o API</p>	<p>Registro existe con campos coincidentes</p>
205	Base de Datos	1	Persistencia e integridad referencial	239	TC-DB-002 - Integridad referencial cliente–póliza	1	800	Verificar la integridad referencial entre clientes y pólizas	Cliente X existente	2	<p>Consultar BD: póliza tiene FK válida a cliente</p>	<p>Integridad mantenida</p>
205	Base de Datos	1	Persistencia e integridad referencial	240	TC-DB-003 - Índices/búsqueda por RFC	1	801	Validar que la búsqueda por RFC sea eficiente	Base de datos con clientes	2	<p>Validar tiempo de respuesta aceptable y resultado correcto</p>	<p>Devuelve cliente esperado rápidamente (evidencia de índice/config correcta)</p>
205	Base de Datos	1	Persistencia e integridad referencial	241	TC-DB-004 - Unicidad de RFC en BD (índice UNIQUE)	1	802	Verificar que la BD prohíbe RFC duplicado mediante restricción UNIQUE	Existe cliente con RFC LORM850101ABC	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
205	Base de Datos	1	Persistencia e integridad referencial	242	TC-DB-005 - Campos obligatorios (NOT NULL) bloquean nulos	1	803	Asegurar que columnas obligatorias no acepten NULL	Definiciones NOT NULL en la tabla clientes	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
205	Base de Datos	1	Persistencia e integridad referencial	243	TC-DB-006 - Tipos y longitudes (p. ej., email ≤ 255)	1	804	Validar que la BD aplique tipos/longitudes y rechace excedentes	Columna correo limitada (VARCHAR(255))	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
205	Base de Datos	1	Persistencia e integridad referencial	244	TC-DB-007 - Transacción y rollback ante fallo de integridad	1	805	Asegurar que si falla la creación de póliza por FK inválida, se haga rollback sin dejar basura	Transacciones activas en la capa de datos; FK polizas.cliente_id → clientes.id	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
205	Base de Datos	1	Persistencia e integridad referencial	245	TC-DB-008 - Restricción CHECK de vigencias (fin ≥ inicio)	1	806	Validar que la BD impide guardar vigencias inválidas en pólizas	CHECK (fecha_fin >= fecha_inicio) definido en polizas	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
205	Base de Datos	1	Persistencia e integridad referencial	246	TC-DB-009 - Auditoría: created_at/updated_at correctos	1	807	Verificar timestamps de auditoría y actualización en edición	Triggers o defaults (now()) en created_at y updated_at	2	<p>Editar correo del cliente → Consultar BD</p>	<p>updated_at &gt; created_at</p>
205	Base de Datos	1	Persistencia e integridad referencial	247	TC-DB-010 - Eliminación restringida o en cascada (cliente con pólizas)	1	808	Comprobar política de integridad al eliminar un cliente con pólizas asociadas	FK polizas.cliente_id con acción definida (RESTRICT o CASCADE). Cliente X con al menos una póliza vinculada	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	248	TC-UI-001 - Consistencia visual de formulario de cliente	1	809	Etiquetas, orden, placeholders y botones según diseño	Mockups/guía de estilo aprobados	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
206	Diseño (UI/UX)	1	Consistencia visual y responsividad	249	TC-UI-002 - Responsividad en 1366×768 y móvil	1	810	Verificar que la UI se adapte correctamente a diferentes resoluciones	Sistema accesible	2	<p>Cambiar a viewport móvil (390×844)</p>	<p>UI legible; scroll/filtros utilizables</p>
